facility_name,facility_type,province,province_id,district,district_id,sector,sector_id,cell,cell_id,village,village_id,latitude,longitude,phone,email,website,opening_hours,address,google_rating,google_reviews,is_efiche_client,client_status,source,source_id,osm_id,matched,data_quality,verification_status,timestamp
BATIMA HP,Health Post,City of Kigali,1.0,,3.0,,417.0,,2141.0,,14561.0,-2.3047152,30.2525963,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_31,,False,Verified,Confirmed,2026-08-27T15:29:52.481291
Ntoma HP,Health Post,Southern Province,2.0,,19.0,,346.0,,1793.0,,11761.0,-1.155577,30.405925,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_32,,False,Verified,Confirmed,2026-08-27T15:29:52.481329
GATUNA HP,Health Post,Western Province,3.0,,8.0,,317.0,,1617.0,,10724.0,-1.4274354,30.0122811,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_33,,False,Verified,Confirmed,2026-08-27T15:29:52.481368
SHONGA FGHP,Health Post,Southern Province,2.0,,19.0,,351.0,,1835.0,,11976.0,-1.3110507,30.1856297,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_34,,False,Verified,Confirmed,2026-08-27T15:29:52.481407
Caritas Muzenga HP,Health Post,City of Kigali,1.0,,9.0,,50.0,,229.0,,1712.0,-2.495657,29.906113,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_35,,False,Verified,Confirmed,2026-08-27T15:29:52.481446
CYEGERA HP,Health Post,City of Kigali,1.0,Gisagara,22.0,,43.0,,197.0,,1454.0,-2.361812,29.79702,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_36,,False,Verified,Confirmed,2026-08-27T15:29:52.481484
NYAMIRAMA HP,Health Post,Southern Province,2.0,,19.0,,340.0,,1752.0,,11502.0,-1.4670219,30.4848179,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_37,,False,Verified,Confirmed,2026-08-27T15:29:52.481525
RWIMIYAGA NYENDO HP,Health Post,Southern Province,2.0,,19.0,,350.0,,1827.0,,11932.0,-1.209792,30.409099,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_38,,False,Verified,Confirmed,2026-08-27T15:29:52.481562
RUSURA HP,Health Post,Estern Province,5.0,Nyamagabe,25.0,,166.0,,859.0,,5725.0,-1.5398,29.39095,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_39,,False,Verified,Confirmed,2026-08-27T15:29:52.481603
NYAMIYAGA HP,Health Post,City of Kigali,1.0,,8.0,,317.0,,1876.0,,18946.0,-1.4863352,29.9859252,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_40,,False,Verified,Confirmed,2026-08-27T15:29:52.481660
Nyagatovu HP,Health Post,Estern Province,5.0,Gasabo,12.0,,423.0,,1922.0,,22631.0,-2.1138372,29.2925597,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_41,,False,Verified,Confirmed,2026-08-27T15:29:52.481714
NYABITEKERI Kabeza HP,Health Post,Southern Province,2.0,,19.0,,351.0,,1833.0,,11964.0,-1.2933385,30.259597,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_42,,False,Verified,Confirmed,2026-08-27T15:29:52.481758
Gatovu Silver HP,Health Post,City of Kigali,1.0,,9.0,,56.0,,256.0,,1735.0,-2.51612,29.852247,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_43,,False,Verified,Confirmed,2026-08-27T15:29:52.481799
Cyagaju Hp,Health Post,Southern Province,2.0,,19.0,,338.0,,1731.0,,11370.0,-1.421238,30.1817,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_44,,False,Verified,Confirmed,2026-08-27T15:29:52.481838
Karushuga Kirebe HP,Health Post,Southern Province,2.0,,19.0,,350.0,,1824.0,,11914.0,-1.323079,30.551926,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_45,,False,Verified,Confirmed,2026-08-27T15:29:52.481877
KAMUTORA FGHP,Health Post,Western Province,3.0,,8.0,,319.0,,1627.0,,10783.0,-1.4792683,30.1218128,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_46,,False,Verified,Confirmed,2026-08-27T15:29:52.481915
Gakagati  HP,Health Post,Southern Province,2.0,,19.0,,350.0,,1828.0,,11936.0,-1.203104,30.483772,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_47,,False,Verified,Confirmed,2026-08-27T15:29:52.481960
KABEZA HEZA HP,Health Post,Southern Province,2.0,,19.0,,338.0,,1732.0,,11375.0,-1.401258,30.231868,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_48,,False,Verified,Confirmed,2026-08-27T15:29:52.482004
MUDUGARI HP,Health Post,City of Kigali,1.0,,4.0,,286.0,,1473.0,,9741.0,-1.4839959,29.9532988,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_49,,False,Verified,Confirmed,2026-08-27T15:29:52.482044
Kiremera Health post,Health Post,Southern Province,2.0,,2.0,,380.0,,1969.0,,13124.0,-2.32221,30.721257,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_50,,False,Verified,Confirmed,2026-08-27T15:29:52.482083
Mulinja Kidanwa HP,Health Post,City of Kigali,1.0,Gisagara,22.0,,41.0,,187.0,,1380.0,-2.292667,29.888374,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_51,,False,Verified,Confirmed,2026-08-27T15:29:52.482122
Kigarama HP,Health Post,Southern Province,2.0,,19.0,,341.0,,1760.0,,11545.0,-1.46348,30.303336,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_52,,False,Verified,Confirmed,2026-08-27T15:29:52.482159
Shyanda HP,Health Post,Northern Province,4.0,,9.0,,59.0,,271.0,,2088.0,-2.530714,29.791077,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_53,,False,Verified,Confirmed,2026-08-27T15:29:52.482197
GITUZA HP,Health Post,City of Kigali,1.0,,16.0,,400.0,,2061.0,,13896.0,-2.1872197,30.2867764,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_54,,False,Verified,Confirmed,2026-08-27T15:29:52.482235
GORA HP,Health Post,Estern Province,5.0,Nyamagabe,25.0,,167.0,,862.0,,5742.0,-1.6897,29.34926,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_55,,False,Verified,Confirmed,2026-08-27T15:29:52.482273
Bushoga-Nyagatare HP,Health Post,Southern Province,2.0,,19.0,,347.0,,1799.0,,11787.0,-1.343049,30.311888,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_56,,False,Verified,Confirmed,2026-08-27T15:29:52.482310
MURAMA HP,Health Post,Southern Province,2.0,,3.0,,411.0,,2114.0,,14331.0,-2.3761222,30.0798039,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_57,,False,Verified,Confirmed,2026-08-27T15:29:52.482349
MUTI HP,Health Post,Estern Province,5.0,Kamonyi,28.0,,205.0,,1091.0,,7153.0,-2.59634,28.910275,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_58,,False,Verified,Confirmed,2026-08-27T15:29:52.482388
Kibagabaga HP,Health Post,City of Kigali,1.0,,6.0,,20.0,,85.0,,611.0,-1.934314,30.131047,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_59,,False,Verified,Confirmed,2026-08-27T15:29:52.482426
Nasho Health post,Health Post,City of Kigali,1.0,,2.0,,384.0,,1990.0,,13320.0,-2.084556,30.843778,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_61,,False,Verified,Confirmed,2026-08-27T15:29:52.482466
Urugwiro life HP,Health Post,City of Kigali,1.0,,19.0,,76.0,,1741.0,,11443.0,-1.337941,30.221029,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_62,,False,Verified,Confirmed,2026-08-27T15:29:52.482504
RUBONA  KIGEMBE HP,Health Post,City of Kigali,1.0,,9.0,,51.0,,233.0,,1743.0,-2.75132,29.767342,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_63,,False,Verified,Confirmed,2026-08-27T15:29:52.482542
Kagese SGHP,Health Post,Southern Province,2.0,,2.0,,387.0,,2004.0,,13450.0,-2.136964,30.752256,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_64,,False,Verified,Confirmed,2026-08-27T15:29:52.484353
kibayi HP,Health Post,City of Kigali,1.0,,9.0,,54.0,,247.0,,1879.0,-2.70993,29.853327,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_65,,False,Verified,Confirmed,2026-08-27T15:29:52.484439
Rwenyana Musheri HP,Health Post,Southern Province,2.0,,19.0,,346.0,,1797.0,,11778.0,-1.110678,30.41444,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_66,,False,Verified,Confirmed,2026-08-27T15:29:52.484486
Zivu Save Health post,Health Post,City of Kigali,1.0,,9.0,,59.0,,272.0,,2093.0,-2.548613,29.809619,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_67,,False,Verified,Confirmed,2026-08-27T15:29:52.484531
Gitarama hp,Health Post,City of Kigali,1.0,Gasabo,12.0,,139.0,,698.0,,4643.0,-2.0914372,29.3695514,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_68,,False,Verified,Confirmed,2026-08-27T15:29:52.484572
Munazi Save HP,Health Post,City of Kigali,1.0,,9.0,,59.0,,269.0,,2066.0,-2.549859,29.794705,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_69,,False,Verified,Confirmed,2026-08-27T15:29:52.484613
ISANGE-RUGALI HP,Health Post,Southern Province,2.0,,19.0,,344.0,,1783.0,,11705.0,-1.429398,30.268285,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_70,,False,Verified,Confirmed,2026-08-27T15:29:52.484707
Gasambu-Rukingiro HP,Health Post,City of Kigali,1.0,Gisagara,22.0,,38.0,,172.0,,1245.0,-2.333117,29.922015,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_71,,False,Verified,Confirmed,2026-08-27T15:29:52.484762
KIGABIRO -GICUMBI Health post,Health Post,Western Province,3.0,,8.0,,322.0,,1642.0,,10871.0,-1.757578,30.186135,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_72,,False,Verified,Confirmed,2026-08-27T15:29:52.484804
Bwiyorere SGHP,Health Post,Southern Province,2.0,,2.0,,384.0,,1986.0,,13290.0,-2.32221,30.721257,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_73,,False,Verified,Confirmed,2026-08-27T15:29:52.484845
Nyakibungo HP,Health Post,City of Kigali,1.0,,9.0,,48.0,,220.0,,1626.0,-2.5863442,29.9011712,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_74,,False,Verified,Confirmed,2026-08-27T15:29:52.484884
Rurenge Rukira HP,Health Post,Southern Province,2.0,,16.0,,396.0,,2046.0,,13778.0,-1.344117,30.249907,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_75,,False,Verified,Confirmed,2026-08-27T15:29:52.484925
Kagarama/Gabiro HP,Health Post,Estern Province,5.0,Nyanza,21.0,,230.0,,1703.0,,8025.0,-2.3915343,29.1888555,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_76,,False,Verified,Confirmed,2026-08-27T15:29:52.484974
Iwacusaga HP,Health Post,City of Kigali,1.0,,9.0,,53.0,,245.0,,1858.0,-2.685719,29.883424,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_77,,False,Verified,Confirmed,2026-08-27T15:29:52.485018
CYUNUZI HP,Health Post,City of Kigali,1.0,,2.0,,379.0,,1963.0,,13067.0,-2.28187051,30.56022568,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_78,,False,Verified,Confirmed,2026-08-27T15:29:52.485057
Mwoga health post,Health Post,Southern Province,2.0,,2.0,,383.0,,1982.0,,13264.0,-2.2909176,30.8088121,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_79,,False,Verified,Confirmed,2026-08-27T15:29:52.485098
RUGARAMA VISION HP,Health Post,Southern Province,2.0,,19.0,,346.0,,1796.0,,11774.0,-1.127734,30.406838,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_80,,False,Verified,Confirmed,2026-08-27T15:29:52.485139
UBUZIMA BWIZA HEMBA HP,Health Post,City of Kigali,1.0,,9.0,,48.0,,219.0,,1615.0,-2.603505,29.91923,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_81,,False,Verified,Confirmed,2026-08-27T15:29:52.485177
MBYO HP,Health Post,Southern Province,2.0,,3.0,,408.0,,2104.0,,14232.0,-2.2271545,30.1593545,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_82,,False,Verified,Confirmed,2026-08-27T15:29:52.485216
KAGUNGA HEALTH POST,Health Post,City of Kigali,1.0,Gisagara,22.0,,44.0,,201.0,,1486.0,-2.333117,29.922015,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_83,,False,Verified,Confirmed,2026-08-27T15:29:52.485255
Mahoro health Post,Health Post,Southern Province,2.0,,19.0,,344.0,,1781.0,,11695.0,-1.450351,30.2182,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_84,,False,Verified,Confirmed,2026-08-27T15:29:52.485294
Shara HP,Health Post,City of Kigali,1.0,Nyanza,21.0,,224.0,,1188.0,,7804.0,-2.3142308,29.1153312,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_85,,False,Verified,Confirmed,2026-08-27T15:29:52.485332
RUKORE SGHP,Health Post,City of Kigali,1.0,Huye,24.0,,65.0,,299.0,,2219.0,-2.6507741,29.4424281,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_86,,False,Verified,Confirmed,2026-08-27T15:29:52.485371
KATARARA/MUHERO SGHP,Health Post,City of Kigali,1.0,Gisagara,22.0,,44.0,,202.0,,1496.0,-2.419105,29.922768,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_87,,False,Verified,Confirmed,2026-08-27T15:29:52.485409
KINKANGA SHYIRA HP,Health Post,City of Kigali,1.0,Gisagara,22.0,,38.0,,173.0,,1250.0,-2.267473,29.913377,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_88,,False,Verified,Confirmed,2026-08-27T15:29:52.485447
BUKWASHURI FGHP,Health Post,Western Province,3.0,,4.0,,296.0,,1513.0,,10076.0,-1.4849708,29.9050388,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_89,,False,Verified,Confirmed,2026-08-27T15:29:52.485483
CYANZARWE-RYABIZIGE SGHP,Health Post,City of Kigali,1.0,Nyamagabe,25.0,,167.0,,867.0,,5767.0,-1.6221905,29.3199763,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_90,,False,Verified,Confirmed,2026-08-27T15:29:52.485519
BIBARE HP,Health Post,Southern Province,2.0,,19.0,,344.0,,1870.0,,11675.0,-1.465571,30.237811,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_91,,False,Verified,Confirmed,2026-08-27T15:29:52.485557
IVUZE KUGIHE HP,Health Post,City of Kigali,1.0,Nyanza,21.0,,220.0,,1690.0,,7651.0,-2.3142308,29.1153312,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_92,,False,Verified,Confirmed,2026-08-27T15:29:52.485595
Gitovu HP,Health Post,Northern Province,4.0,Gisagara,22.0,,38.0,,168.0,,1217.0,-2.244843,29.952964,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_93,,False,Verified,Confirmed,2026-08-27T15:29:52.485633
NYAMIREMBE HP,Health Post,Southern Province,2.0,,19.0,,338.0,,1734.0,,11393.0,-1.383517,30.221607,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_94,,False,Verified,Confirmed,2026-08-27T15:29:52.485709
Buvungira HP,Health Post,Estern Province,5.0,Nyanza,21.0,,220.0,,1167.0,,7626.0,-2.4145042,29.0918898,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_95,,False,Verified,Confirmed,2026-08-27T15:29:52.485754
GISHAMBASHAYO HP,Health Post,Western Province,3.0,,8.0,,317.0,,1616.0,,10722.0,-1.4970482,29.9906713,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_96,,False,Verified,Confirmed,2026-08-27T15:29:52.485798
GISHURO IDP,Health Post,Southern Province,2.0,,19.0,,351.0,,1830.0,,11949.0,-1.300328,30.1916878,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_97,,False,Verified,Confirmed,2026-08-27T15:29:52.485839
Gitengure HP,Health Post,Southern Province,2.0,,19.0,,351.0,,1831.0,,11953.0,-1.291859,30.302119,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_98,,False,Verified,Confirmed,2026-08-27T15:29:52.485880
MUSOVU HP,Health Post,Southern Province,2.0,,3.0,,405.0,,2088.0,,14100.0,-2.0745597,30.1841896,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_99,,False,Verified,Confirmed,2026-08-27T15:29:52.485920
NTEKO HP,Health Post,City of Kigali,1.0,Huye,24.0,,60.0,,275.0,,2109.0,-2.8037724,29.5579005,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_100,,False,Verified,Confirmed,2026-08-27T15:29:52.485964
Tagaza HP,Health Post,City of Kigali,1.0,Nyamagabe,25.0,,173.0,,904.0,,6011.0,-1.7199497,29.2710195,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_101,,False,Verified,Confirmed,2026-08-27T15:29:52.486009
GIHENGERI HEALTH POST,Health Post,Southern Province,2.0,,19.0,,345.0,,1786.0,,11724.0,-1.5129521,30.1819385,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_102,,False,Verified,Confirmed,2026-08-27T15:29:52.486049
MUNINI HP,Health Post,City of Kigali,1.0,,9.0,,49.0,,225.0,,1680.0,-2.670539,29.812032,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_103,,False,Verified,Confirmed,2026-08-27T15:29:52.486091
KABUGA HP(MUSAZA),Health Post,Southern Province,2.0,,2.0,,385.0,,205.0,,13349.0,-2.3561398,30.6012138,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_104,,False,Verified,Confirmed,2026-08-27T15:29:52.486131
Bufunda health post,Health Post,City of Kigali,1.0,,19.0,,345.0,,1784.0,,11710.0,-1.438303,30.23325,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_105,,False,Verified,Confirmed,2026-08-27T15:29:52.486169
KAGASA HP,Health Post,Southern Province,2.0,,3.0,,410.0,,2110.0,,14287.0,-2.073403,30.1312488,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_106,,False,Verified,Confirmed,2026-08-27T15:29:52.486208
KABEZA/Rwimiyaga HP,Health Post,Southern Province,2.0,,19.0,,350.0,,1823.0,,16318.0,-1.254842,30.41238,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_107,,False,Verified,Confirmed,2026-08-27T15:29:52.486249
NYAGAHINGA HP,Health Post,Western Province,3.0,,4.0,,288.0,,1485.0,,9866.0,-1.3727186,29.7200897,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_108,,False,Verified,Confirmed,2026-08-27T15:29:52.486294
Mpanga Rubaya hp,Health Post,Southern Province,2.0,,2.0,,384.0,,1992.0,,13334.0,-2.171254,30.841665,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_109,,False,Verified,Confirmed,2026-08-27T15:29:52.486340
KABO HP,Health Post,Western Province,3.0,,8.0,,319.0,,1626.0,,10774.0,-1.5161655,30.121961,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_110,,False,Verified,Confirmed,2026-08-27T15:29:52.486385
Kabuga (Manyagiro) HP,Health Post,Western Province,3.0,,8.0,,310.0,,1576.0,,20500.0,-1.7635874,30.149442,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_111,,False,Verified,Confirmed,2026-08-27T15:29:52.486425
Nyarupfubire HP,Health Post,Southern Province,2.0,,19.0,,350.0,,1826.0,,11925.0,-1.297242,30.401279,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_112,,False,Verified,Confirmed,2026-08-27T15:29:52.486463
BUTANSINDA Health Post,Health Post,City of Kigali,1.0,Gisagara,22.0,,41.0,,183.0,,1329.0,-2.280879,29.784907,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_113,,False,Verified,Confirmed,2026-08-27T15:29:52.486501
Cyambwe Health Post,Health Post,Southern Province,2.0,,2.0,,132.0,,2003.0,,13439.0,-2.107623,30.71632,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_114,,False,Verified,Confirmed,2026-08-27T15:29:52.486539
RUKOMO ll Health Post,Health Post,Southern Province,2.0,,19.0,,348.0,,1810.0,,11860.0,-1.381871,30.273461,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_116,,False,Verified,Confirmed,2026-08-27T15:29:52.486576
